"Provider number","Network","Facility name","Address line 1","Address line 2","City","State","Zip","County","Phone number","Profit or Non-Profit","Chain owned","Chain organization","ICH-CAHPS date","ICH-CAHPS data availability code","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Linearized score of Nephrologists’ communication and caring","Star rating of Nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Star rating of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Linearized score of providing information to patients","Star rating of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Star rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Star rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Star rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","ICH CAHPS Quality of patient care star rating"
"142696","10","DAVITA - WOODRIDGE AT HOME","7425 JANES AVENUE","","WOODRIDGE","IL","60517","DU PAGE","(630) 968-0081","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142698","10","DAVITA - HARVEY DIALYSIS","16641 S. HALSTED ST., STE A","","HARVEY","IL","60426","COOK","(708) 210-9500","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142699","10","AFFILIATED HOME DIALYSIS OF ELK GROVE","1014 BONAVENTURE DRIVE","","ELK GROVE VILLAGE","IL","60007","COOK","(847) 352-4711","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142700","10","FMC - SANDWICH DIALYSIS, LLC","1310 NORTH MAIN ST., SUITE 105","","SANDWICH","IL","60548","DEKALB","(815) 786-8470","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142701","10","DAVITA - EDWARDSVILLE DIALYSIS","235 SOUTH BUCHANAN STREET","","EDWARDSVILLE","IL","62025","MADISON","(618) 692-9217","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142702","10","FMC - WEST CHICAGO DIALYSIS CENTER","1859 NELTNOR BLVD","","WEST CHICAGO","IL","60185","DU PAGE","(630) 293-5952","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142703","10","FMC - QUAD CITIES","2623 17TH STREET","","ROCK ISLAND","IL","61201","ROCK ISLAND","(309) 786-1400","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142705","10","FMC - OF METROPOLIS","20 HOSPITAL DRIVE","","METROPOLIS","IL","62960","MASSAC","(618) 524-3046","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142707","10","FMC - PLAINFIELD","2320 MICHAS DRIVE","","PLAINFIELD","IL","60586","WILL","(815) 230-2267","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","23","13","64","78","3","17","14","69","83","4","17","83","83","4","17","27","56","82","3","5","23","72","91","4","6","22","72","91","4","39","4"
"142708","10","DAVITA - PITTSFIELD DIALYSIS","640 WEST WASHINGTON STREET","","PITTSFIELD","IL","62363","PIKE","(217) 285-2780","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142709","10","YORKVILLE DIALYSIS CENTER LLC","1400 N. BEECHER ROAD","","YORKVILLE","IL","60560","KENDALL","(630) 553-6952","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142710","10","FMC - DEERFIELD DIALYSIS CENTER","405 LAKE COOK RD. SUITE A13","","DEERFIELD","IL","60015","LAKE","(847) 559-0374","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142711","10","DAVITA - ADAMS COUNTY DIALYSIS","436 NORTH 10TH STREET","","QUINCY","IL","62301","ADAMS","(217) 223-7913","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","22","20","58","77","2","15","19","66","83","4","19","81","81","4","9","39","52","87","4","6","29","65","89","4","9","16","75","89","4","36","4"
"142712","10","DAVITA - BIG OAKS DIALYSIS","5623 W. TOUHY AVENUE","","NILES","IL","60714","COOK","(847) 647-3140","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142713","10","FMC - MIDWAY DIALYSIS","6201 W. 63RD STREET","","CHICAGO","IL","60638","COOK","(773) 229-8268","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","29","17","54","71","1","21","27","52","75","3","22","78","78","3","19","24","57","80","2","16","31","53","82","3","15","25","60","84","2","36","2"
"142714","10","DAVITA - ROBINSON DIALYSIS","1215 N. ALLEN STREET, STE B","","ROBINSON","IL","62454","CRAWFORD","(618) 544-7092","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","21","16","63","78","3","14","20","66","82","4","17","83","83","4","10","33","57","83","3","14","17","69","84","3","15","9","76","87","3","41","3"
"142715","10","DAVITA - COBBLESTONE DIALYSIS","836 DUNDEE AVE.","","ELGIN","IL","60120","KANE","(847) 888-9386","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","26","19","55","74","2","20","22","58","78","3","24","76","76","3","28","30","42","76","1","13","42","45","82","3","18","33","49","83","2","62","2"
"142716","10","DAVITA - CRYSTAL SPRINGS DIALYSIS","720 COG CIRCLE","","CRYSTAL LAKE","IL","60014","MCHENRY","(815) 459-4945","Non-Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142717","10","DAVITA - KENWOOD DIALYSIS","4529 S. COTTAGE GROVE AVENUE, STE 100","","CHICAGO","IL","60653","COOK","(773) 285-3621","Non-Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","21","17","62","79","3","21","19","60","78","3","21","79","79","3","16","34","50","82","3","6","33","61","86","3","10","23","67","87","3","71","3"
"142718","10","DAVITA - STONY ISLAND DIALYSIS","8725 SOUTH STONY ISLAND AVE","","CHICAGO","IL","60617","COOK","(773) 221-7320","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","29","13","58","74","2","27","17","56","74","2","25","75","75","2","18","37","45","80","2","13","40","47","82","3","14","26","60","85","3","88","2"
"142719","10","DAVITA - WEST LAWN DIALYSIS","7000-C S. PULASKI","","CHICAGO","IL","60629","COOK","(773) 284-5324","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","28","15","57","73","1","35","19","46","66","1","30","70","70","1","23","17","60","82","3","26","29","45","74","1","22","23","55","77","1","39","1"
"142720","10","DAVITA - KENWOOD PD","4259 COTTAGE GROVE AVE","SUITE 200","CHICAGO","IL","60653","COOK","(773) 924-5948","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142721","10","DAVITA - WOODLAWN DIALYSIS","5060 S STATE ST","","CHICAGO","IL","60609","COOK","(773) 924-2149","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","15","10","75","86","4","25","23","52","74","2","23","77","77","3","11","15","74","89","4","20","33","47","79","2","22","29","49","80","1","73","3"
"142722","10","FMC - LOMBARD DIALYSIS","1940 SPRINGER DRIVE","","LOMBARD","IL","60148","DU PAGE","(630) 693-0394","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142723","10","FMC - PALATINE DIALYSIS CENTER","691 EAST DUNDEE ROAD","","PALATINE","IL","60074","COOK","(847) 963-4299","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","6","12","82","92","5","10","16","74","87","5","20","80","80","4","2","14","84","94","5","5","14","81","91","4","7","13","80","94","5","47","5"
"142724","10","LAKEVIEW HOME DIALYSIS","3023 NORTH ASHLAND AVE.","SUITE 1","CHICAGO","IL","60657","COOK","(773) 525-3053","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142725","10","FMC - STEGER DIALYSIS","219 E. 34TH STREET","","STEGER","IL","60475","COOK","(708) 754-3770","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142726","10","FMC - OF ELGIN","2130 POINT BLVD. SUITE 800","","ELGIN","IL","60123","KANE","(847) 428-3605","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","17","18","65","82","4","14","19","67","83","4","13","87","87","5","7","32","61","88","4","2","16","82","93","5","2","12","86","94","5","48","5"
"142727","10","FMC - WAUKEGAN HARBOR","110 N. WEST STREET","","WAUKEGAN","IL","60085","LAKE","(847) 599-1346","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","12","13","75","87","4","11","25","64","84","4","26","74","74","2","5","19","76","91","4","4","33","63","89","4","1","28","71","92","4","70","4"
"142728","10","DAVITA - GRAND CROSSING DIALYSIS","7319 S. COTTAGE GROVE AVE.","","CHICAGO","IL","60619","COOK","(773) 783-3491","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142729","10","FMC - WEST BATAVIA","2580 WEST FABYAN PARKWAY","","BATAVIA","IL","60510","KANE","(630) 406-1690","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142730","10","FMC - WEST WILLOW","1444 W. WILLOW ST.","","CHICAGO","IL","60642","COOK","(773) 772-4079","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142731","10","FMC - MUNDELEIN","1402 TOWNLINE ROAD","","MUNDELEIN","IL","60060","LAKE","(847) 949-3904","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","9","16","75","87","4","11","14","75","87","5","17","83","83","4","8","19","73","91","4","4","17","79","93","5","5","5","90","95","5","39","5"
"142732","10","DAVITA - PALOS PARK DIALYSIS","13155 S. LAGRANGE ROAD","","ORLAND PARK","IL","60462","COOK","(708) 923-0928","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142733","10","DAVITA - SPRINGFIELD SOUTH DIALYSIS","2930 SOUTH 6TH ST.","","SPRINGFIELD","IL","62703","SANGAMON","(217) 528-1745","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142734","10","DAVITA - DANVILLE AT HOME","3 POLAND ROAD","","DANVILLE","IL","61832","VERMILION","(217) 443-3350","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142735","10","FMC - RIVER FOREST DIALYSIS","103 FOREST AVENUE","","RIVER FOREST","IL","60305","COOK","(708) 488-9258","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","15","11","74","85","4","16","16","68","83","4","17","83","83","4","15","20","65","86","4","3","31","66","89","4","4","19","77","92","4","39","4"
"142736","10","DAVITA - BARRINGTON CREEK","28160 W. NORTHWEST HWY, SUITE 104","","LAKE BARRINGTON","IL","60010","LAKE","(847) 381-1325","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142737","10","ARA - MCHENRY DIALYSIS CENTER","4209 W. SHAMROCK LANE, UNIT A","","MCHENRY","IL","60050","MCHENRY","(815) 344-8512","Profit","Yes","AMERICAN RENAL ASSOCIATES","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142738","10","USRC - STREAMWOOD DIALYSIS","149 IRVING PARK","","STREAMWOOD","IL","60107","COOK","(630) 289-2104","Profit","Yes","US RENAL CARE, INC.","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142739","10","FMC - JOLIET","721 EAST JACKSON STREET","","JOLIET","IL","60432","WILL","(815) 726-8619","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","24","15","61","76","2","18","16","66","81","4","32","68","68","1","12","28","60","87","4","5","16","79","93","5","9","17","74","92","4","34","3"
"142740","10","DAVITA - MORRIS DIALYSIS","1551 CREEK DRIVE","","MORRIS","IL","60450","GRUNDY","(815) 416-0475","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","23","23","54","76","2","12","17","71","86","5","15","85","85","4","28","26","46","80","2","1","36","63","90","4","8","33","59","88","3","31","3"
"142741","10","DAVITA - RENAL CARE CENTER NEW LENOX","1890 SILVER CROSS BLVD","SUITE 150","NEW LENOX","IL","60451","WILL","(815) 320-3049","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","20","14","66","79","3","19","19","62","80","3","16","84","84","4","11","40","49","82","3","6","32","62","86","3","6","31","63","86","3","57","3"
"142742","10","DAVITA - WEST JOLIET","1051 ESSINGTON ROAD SUITE 160","","JOLIET","IL","60435","WILL","(815) 725-3275","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","20","11","69","81","3","17","13","70","83","4","22","78","78","3","18","20","62","86","4","7","27","66","89","4","8","24","68","88","3","68","4"
"142743","10","VILLA PARK HOME DIALYSIS","1634 S ARDMORE AVE  SUITE 200","","VILLA PARK","IL","60181","DU PAGE","(630) 620-1233","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142744","10","FMC - CHATHAM","8710 S. HOLLAND RD","","CHICAGO","IL","60620","COOK","(773) 723-2536","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","29","15","56","72","1","31","20","49","69","1","36","64","64","1","24","30","46","78","2","29","30","41","74","1","24","35","41","76","1","53","1"
"142745","10","HOME DIALYSIS SERVICES LLC","15786 S. BELL RD.","","HOMER GLEN","IL","60491","WILL","(708) 645-1000","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142746","10","SATELLITE DIALYSIS GLENVIEW","2601 COMPASS ROAD SUITE 145","","GLENVIEW","IL","60026","COOK","(847) 832-0001","Non-Profit","Yes","SATELLITE HEALTHCARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142747","10","DAVITA - DRIFTWOOD DIALYSIS","1808 S WEST AVE","","FREEPORT","IL","61032","STEPHENSON","(815) 232-0295","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142748","10","DAVITA - CRIMSON RIDGE","2540 HAUSER ROSS DRIVE","","SYCAMORE","IL","60178","DEKALB","(815) 748-3508","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142749","10","USRC - BOLINGBROOK","396 REMINGTON BLVD., SUITE 100","","BOLINGBROOK","IL","60440","WILL","(630) 759-1943","Profit","Yes","US RENAL CARE, INC.","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142750","10","USRC - OAKBROOK, LLC","1201 B BUTTERFIELD ROAD","","DOWNERS GROVE","IL","60515","DU PAGE","(630) 968-0306","Profit","Yes","US RENAL CARE, INC.","04/21/2017 - 01/17/2018","001","17","22","61","80","3","10","19","71","86","5","27","73","73","2","12","33","55","84","3","5","23","72","91","4","0","25","75","91","4","30","4"
"142751","10","USRC ADVANCED HOME THERAPIES, LLC","1201-A  BUTTERFIELD ROAD","","DOWNERS GROVE","IL","60515","DU PAGE","(630) 968-0649","Profit","Yes","US RENAL CARE, INC.","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142752","10","AFFILIATED DIALYSIS OF GLEN ELLYN","800 ROOSEVELT RD STE C-16","","GLEN ELLYN","IL","60137","DU PAGE","(630) 942-1111","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142753","10","DAVITA - SHILOH DIALYSIS","1095 NORTH GREEN MOUNT RD","","BELLEVILLE","IL","62221","SAINT CLAIR","(618) 628-1108","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","22","17","61","78","3","27","20","53","73","2","22","78","78","3","13","30","57","85","3","20","30","50","77","1","21","17","62","80","1","45","2"
"142754","10","FMC - CICERO","3000 S CICERO AVE","","CICERO","IL","60804","COOK","(708) 652-7089","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","10","9","81","89","5","13","17","70","85","4","22","78","78","3","15","10","75","88","4","8","29","63","87","3","7","15","78","90","4","36","4"
"142755","10","USRC - VILLA PARK DIALYSIS","200 E. NORTH AVENUE","","VILLA PARK","IL","60181","DU PAGE","(630) 530-5237","Profit","Yes","US RENAL CARE, INC.","04/21/2017 - 01/17/2018","001","16","13","71","84","4","8","17","75","89","5","19","81","81","4","12","15","73","89","4","5","22","73","91","4","2","10","88","95","5","43","4"
"142756","10","FMC - SOUTH DEERING DIALYSIS","10559 S TORRENCE AVE","","CHICAGO","IL","60617","COOK","(773) 768-7100","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
