"Provider Number","Network","Facility Name ","Address Line 1","Address Line 2","City","State ","Zip","County","Phone Number","Profit or Non-Profit","Chain Owned","Chain Organization ","ICH-CAHPS date","ICH-CAHPS data availability code","Lower box percent of patients-nephrologists’ communication and caring","Middle box percent of patients-nephrologists’ communication and caring","Top box percent of patients-nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients ","Top box percent of patients- providing information to patients","Lower box percent of patients-rating of the nephrologist ","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff ","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff ","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility ","Top box percent of patients-rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys"
"052814","17","TRACY DIALYSIS CENTER","425 BEVERLY PLACE, SUITE A","","TRACY","CA","95376","SAN JOAQUIN","2098390398","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"052815","17","RAI BANCROFT","6955 FOOTHILL BLVD. STE 220","","OAKLAND","CA","94605","ALAMEDA","5105531333","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","17","18","65","18","22","60","19","81","16","25","59","8","32","60","8","19","73","61"
"052816","18","DESERT CITIES DIALYSIS OF BARSTOW","655 S. 7TH  STREET","","BARSTOW","CA","92311","SAN BERNARDINO","7602563918","1","N","INDEPENDENT","22Apr2016-13Jan2017","001","29","17","54","7","18","75","16","84","27","41","32","5","26","69","7","24","69","32"
"052817","18","FMC-RAI-CARE CENTERS OF COLTON, LLC","1275 W. ""C"" STREET","","COLTON","CA","92324","SAN BERNARDINO","9094300930","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","29","15","56","21","19","60","26","74","18","38","44","14","39","47","27","29","44","57"
"052818","18","UCSD DIALYSIS CENTER","UCSD DIALYSIS CENTER - 200 W. ARBOR DRIVE","DIALYSIS PROGRAM, MAIL CODE 8781","SAN DIEGO","CA","92103","SAN DIEGO","6195435646","2","N","INDEPENDENT","22Apr2016-13Jan2017","001","12","10","78","6","24","70","15","85","9","20","71","2","20","78","0","12","88","37"
"052819","17","SATELLITE DIALYSIS SAN MATEO","2000 SOUTH EL CAMINO REAL","","SAN MATEO","CA","94403","SAN MATEO","6503770888","2","Y","SATELLITE HEALTHCARE","22Apr2016-13Jan2017","001","15","13","72","22","15","63","25","75","10","23","67","6","26","68","6","25","69","96"
"052820","18","FMC-RAI-W. FOOTHILL BLVD-GLENDORA","120 W. FOOTHILL BLVD.","","GLENDORA","CA","91740","LOS ANGELES","6263357551","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","30","16","54","20","22","58","26","74","30","22","48","15","27","58","14","32","54","43"
"052821","18","U.S. RENAL CARE GARDENA DIALYSIS - 190TH","1149 W. 190TH STREET, SUITE 1004","","GARDENA","CA","90248","LOS ANGELES","3109650830","1","Y","US RENAL CARE, INC.","22Apr2016-13Jan2017","001","20","17","63","20","22","58","28","72","14","35","51","11","23","66","7","27","66","57"
"052822","17","OAKLAND PERITONEAL DIALYSIS CENTER","5352 CLAREMONT AVE","","OAKLAND","CA","94618","ALAMEDA","5105970398","1","Y","DAVITA","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"052864","18","FMC-SAN YSIDRO DIALYSIS CENTER","3010 DEL SOL BLVD.","","SAN DIEGO","CA","92154","SAN DIEGO","6194299690","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","27","15","58","19","22","59","21","79","17","17","66","16","18","66","11","19","70","56"
"052865","18","DAVITA-CENTURY CITY DIALYSIS CENTER (ADULT)","10630 SANTA MONICA BLVD.","","LOS ANGELES","CA","90025","LOS ANGELES","3109542700","1","Y","DAVITA","22Apr2016-13Jan2017","001","15","19","66","21","25","54","35","65","7","30","63","17","32","51","11","35","54","46"
"052866","18","DAVITA-SAN YSIDRO DIALYSIS","1445 30TH STREET, SUITE A","","SAN DIEGO","CA","92154","SAN DIEGO","6195753901","1","Y","DAVITA","22Apr2016-13Jan2017","001","30","15","55","15","24","61","14","86","28","16","56","9","21","70","6","29","65","87"
"052867","18","EAST PALMDALE DIALYSIS CENTER","2710 E. PALMDALE BLVD.","","PALMDALE","CA","93550","LOS ANGELES","6614561500","1","N","INDEPENDENT","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"052868","18","QUEENS DIALYSIS UNIT, INC.","1135 S. SUNSET AVENUE, SUITE 103","","WEST COVINA","CA","91790","LOS ANGELES","6263374245","1","N","INDEPENDENT","22Apr2016-13Jan2017","001","10","13","77","17","19","64","26","74","4","25","71","8","28","64","11","18","71","66"
"052869","18","DAVITA-PALMDALE REGIONAL DIALYSIS","1643 E. PALMDALE BLVD.","","PALMDALE","CA","93550","LOS ANGELES","6615400925","1","Y","DAVITA","22Apr2016-13Jan2017","001","9","26","65","14","24","62","18","82","7","34","59","8","17","75","10","13","77","72"
"052834","18","U.S. RENAL CARE OCEANSIDE DIALYSIS","2227- B EL CAMINO REAL","","OCEANSIDE","CA","92054","SAN DIEGO","7607571838","1","Y","US RENAL CARE, INC.","22Apr2016-13Jan2017","001","22","12","66","20","22","58","17","83","14","23","63","8","22","70","12","17","71","47"
"052835","18","U.S. RENAL CARE CHULA VISTA BROADWAY DIALYSIS","1181 BROADWAY, SUITE 5","","CHULA VISTA","CA","91911","SAN DIEGO","6195850016","1","Y","US RENAL CARE, INC.","22Apr2016-13Jan2017","001","14","16","70","17","21","62","17","83","13","30","57","8","32","60","10","30","60","132"
"052836","18","TOIYABE DIALYSIS CENTER","44 TU SU LANE","","BISHOP","CA","93514","INYO","7608737611","2","N","INDEPENDENT","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"052837","18","U.S. RENAL CARE WESTSIDE DIALYSIS","300 S. ROBERTSON BLVD.","","LOS ANGELES","CA","90048","LOS ANGELES","3103858683","1","Y","US RENAL CARE, INC.","22Apr2016-13Jan2017","001","16","12","72","16","18","66","30","70","10","21","69","7","25","68","4","27","69","55"
"052838","18","LOMPOC ARTIFICIAL KIDNEY CENTER, LLC","127 W. PINE AVENUE","","LOMPOC","CA","93436","SANTA BARBARA","8057402000","1","N","INDEPENDENT","22Apr2016-13Jan2017","001","20","14","66","14","18","68","25","75","15","19","66","7","24","69","5","33","62","52"
"052839","18","DAVITA-NORTHEAST BAKERSFIELD DIALYSIS","3761 MALL VIEW ROAD","","BAKERSFIELD","CA","93306","KERN","6618729836","1","Y","DAVITA","22Apr2016-13Jan2017","001","17","16","67","14","23","63","14","86","6","34","60","7","33","60","8","26","66","52"
"052840","18","U.S. RENAL CARE LONG BEACH DIALYSIS","1045 ATLANTIC AVENUE, SUITE 108","","LONG BEACH","CA","90813","LOS ANGELES","5624353637","1","Y","US RENAL CARE, INC.","22Apr2016-13Jan2017","001","6","7","87","24","19","57","30","70","2","22","76","15","37","48","17","36","47","31"
"052841","17","ANTIOCH DIALYSIS CENTER","3100 DELTA FAIR BLVD","","ANTIOCH","CA","94509","CONTRA COSTA","9257535000","1","Y","DAVITA","22Apr2016-13Jan2017","001","19","16","65","21","20","59","18","82","7","41","52","10","32","58","15","24","61","50"
"052842","18","FMC-BUENA CREEK","950 HACIENDA DRIVE","","VISTA","CA","92081","SAN DIEGO","7606317900","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","8","13","79","17","20","63","20","80","5","20","75","13","23","64","9","17","74","78"
"052843","18","U.S. RENAL CARE MONTEBELLO DIALYSIS","433 N. 4TH. ST., SUITE 102","","MONTEBELLO","CA","90640","LOS ANGELES","3232785555","1","Y","US RENAL CARE, INC.","22Apr2016-13Jan2017","001","15","22","63","26","21","53","29","71","14","21","65","25","16","59","19","24","57","36"
"052844","18","DAVITA-IMPERIAL CARE DIALYSIS CENTER","4345 E. IMPERIAL HIGHWAY","","LYNWOOD","CA","90262","LOS ANGELES","3109000333","1","Y","DAVITA","22Apr2016-13Jan2017","001","21","14","65","23","18","59","19","81","19","24","57","12","26","62","6","24","70","96"
"052845","17","SOUTH HAYWARD DIALYSIS CENTER","254 JACKSON STREET","","HAYWARD","CA","94544","ALAMEDA","5105831255","1","Y","DAVITA","22Apr2016-13Jan2017","001","20","21","59","22","25","53","26","74","15","32","53","10","39","51","8","30","62","60"
"052846","18","FMC-INGLEWOOD","336 E. HILLCREST AVENUE, SUITE 100","","INGLEWOOD","CA","90301","LOS ANGELES","3106733656","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","21","10","69","17","20","63","29","71","15","16","69","11","22","67","5","18","77","44"
"052847","18","FMC-WEST COVINA KIDNEY CENTER","1540 W. COVINA PARKWAY","","WEST COVINA","CA","91790","LOS ANGELES","6263378007","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","14","20","66","22","18","60","24","76","6","25","69","16","26","58","15","22","63","74"
"052848","18","FMC-RIVERSIDE","3470 LA SIERRA AVENUE, SUITE E","","RIVERSIDE","CA","92503","RIVERSIDE","9513437700","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","22","11","67","13","22","65","23","77","18","23","59","5","29","66","6","25","69","104"
"052850","17","ORANGEVALE DIALYSIS CENTER","9267 GREENBACK LANE #A2","","ORANGEVALE","CA","95662","SACRAMENTO","9169885666","1","Y","DAVITA","22Apr2016-13Jan2017","001","5","6","89","11","20","69","19","81","0","18","82","5","25","70","6","17","77","52"
"052852","18","DAVITA-CRESCENT HEIGHTS DIALYSIS CENTER","8151 BEVERLY BLVD.","","LOS ANGELES","CA","90048","LOS ANGELES","3236556226","1","Y","DAVITA","22Apr2016-13Jan2017","001","12","16","72","22","14","64","18","82","4","26","70","20","17","63","15","18","67","47"
"052853","17","OAKDALE KIDNEY CENTER, LLC","1405 WEST F STREET SUITE B","","OAKDALE","CA","95361","STANISLAUS","2098485780","1","Y","INNOVATIVE DIALYSIS SYSTEMS","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"052854","18","MOHAN DIALYSIS CENTER OF INDUSTRY","15757 E. VALLEY BLVD.","","CITY OF INDUSTRY","CA","91744","LOS ANGELES","6263333801","1","N","INDEPENDENT","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"052855","18","FMC-RANCHO CUCAMONGA","10532 ACACIA STREET, SUITE B2-B3","","RANCHO CUCAMONGA","CA","91730","SAN BERNARDINO","9099878887","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","16","21","63","18","22","60","19","81","10","38","52","12","25","63","12","25","63","103"
"052856","18","DAVITA-WASHINGTON PLAZA DIALYSIS CENTER","516-522 E. WASHINGTON BLVD.","","LOS ANGELES","CA","90015","LOS ANGELES","2137492433","1","Y","DAVITA","22Apr2016-13Jan2017","001","17","19","64","19","23","58","20","80","15","29","56","8","27","65","12","21","67","69"
"052857","17","FLORIN DIALYSIS CENTER","7000 STOCKTON BLVD.","","SACRAMENTO","CA","95823","SACRAMENTO","9164243990","1","Y","DAVITA","22Apr2016-13Jan2017","001","17","11","72","12","22","66","15","85","11","25","64","8","22","70","12","15","73","68"
"052858","18","DAVITA-KENNETH HAHN PLAZA DIALYSIS CENTER","11854 S. WILMINGTON  AVENUE","","LOS ANGELES","CA","90059","LOS ANGELES","3235675077","1","Y","DAVITA","22Apr2016-13Jan2017","001","27","8","65","25","18","57","26","74","24","31","45","17","29","54","23","31","46","41"
"052859","18","DAVITA-WEST GLENDALE DIALYSIS","1427 S. GLENDALE AVENUE","","GLENDALE","CA","91205","LOS ANGELES","8182410016","1","Y","DAVITA","22Apr2016-13Jan2017","001","10","13","77","14","15","71","18","82","13","15","72","7","23","70","4","20","76","57"
"052860","18","FMC-DIALYSIS SERVICES CHANNEL ISLANDS","2679 S. SAVIERS ROAD, SUITE B","","OXNARD","CA","93033","VENTURA","8054862929","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","17","18","65","18","20","62","16","84","14","33","53","3","38","59","8","25","67","72"
"052861","18","FMC-SOUTH ORANGE COUNTY","2020 E. FIRST STREET, SUITE 100","","SANTA ANA","CA","92705","ORANGE","7149721236","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","13","18","69","17","19","64","21","79","8","30","62","7","31","62","6","23","71","115"
"052862","18","FMC-NORTH ORANGE COUNTY","511 N. BROOKHURST STREET, SUITE 100","","ANAHEIM","CA","92801","ORANGE","7147780488","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","17","16","67","16","23","61","18","82","15","22","63","9","20","71","13","14","73","83"
"052863","18","FMC-RAI-NORTH RIVERSIDE-RIALTO","1850 N. RIVERSIDE AVENUE, SUITE 150","","RIALTO","CA","92376","SAN BERNARDINO","9098791185","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","25","8","67","17","13","70","16","84","14","25","61","6","27","67","4","17","79","50"
"052808","18","DAVITA-SADDLEBACK DIALYSIS","23141 PLAZA POINTE DRIVE","","LAGUNA HILLS","CA","92653","ORANGE","9495889211","1","Y","DAVITA","22Apr2016-13Jan2017","001","11","21","68","17","18","65","20","80","8","30","62","12","20","68","15","10","75","50"
"052883","18","DAVITA-SAN DIEGO EAST","292 EUCLID AVENUE, SUITE 100","","SAN DIEGO","CA","92114","SAN DIEGO","6192627225","1","Y","DAVITA","22Apr2016-13Jan2017","001","28","18","54","21","16","63","21","79","27","39","34","11","23","66","10","30","60","53"
"052884","18","WHITTIER KIDNEY DIALYSIS CENTER","16417 E. WHITTIER BLVD.","","WHITTIER","CA","90603","LOS ANGELES","5629478999","1","N","INDEPENDENT","22Apr2016-13Jan2017","001","18","17","65","14","20","66","21","79","11","29","60","8","30","62","7","24","69","94"
"052885","18","FMC-DIALYSIS SERVICES OF PARADISE","6919 PARADISE VALLEY ROAD","","SAN DIEGO","CA","92139","SAN DIEGO","6194752872","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","20","16","64","18","20","62","17","83","14","34","52","9","33","58","7","27","66","76"
"052886","18","FMC-DIALYSIS SERVICES OF COLLEGE","4660 EL CAJON BLVD., SUITE 110","","SAN DIEGO","CA","92115","SAN DIEGO","6195164803","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"052887","17","SATELLITE DIALYSIS WINDSOR","8911 LAKEWOOD DRIVE, STE.16","","WINDSOR","CA","95492","SONOMA","7078361091","2","Y","SATELLITE HEALTHCARE","22Apr2016-13Jan2017","001","13","14","73","8","19","73","23","77","8","21","71","0","16","84","4","5","91","43"
"052888","17","PARKWAY KIDNEY CENTER","2200 PLAZA PARKWAY,  SUITE B1-B4","","MODESTO","CA","95350","STANISLAUS","2095746818","1","Y","INNOVATIVE DIALYSIS SYSTEMS","22Apr2016-13Jan2017","001","23","13","64","17","20","63","21","79","20","35","45","12","31","57","8","17","75","36"
"052889","18","FMC-NORTH LONG BEACH","145 W. VICTORIA STREET","","LONG BEACH","CA","90805","LOS ANGELES","3106393122","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","13","7","80","14","17","69","20","80","5","24","71","2","26","72","4","15","81","38"
"053501","17","PEDIATRIC DIALYSIS UNIT AT UCSF","1825 4TH STREET, ROOM M5209","BOX","SAN FRANCISCO","CA","94143","SAN FRANCISCO","4153532425","2","N","INDEPENDENT","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"053506","18","KAWEAH DELTA DIALYSIS FACILITY","5040 W. TULARE AVENUE","","VISALIA","CA","93277","TULARE","5596243600","2","N","INDEPENDENT","22Apr2016-13Jan2017","001","14","14","72","13","16","71","18","82","6","21","73","4","25","71","1","15","84","42"
"053521","17","MEE MEMORIAL HOSPITAL-DIALYSIS","809 BROADWAY SUITE A","","KING CITY","CA","93930","MONTEREY","8313856034","2","N","INDEPENDENT","22Apr2016-13Jan2017","001","24","10","66","8","13","79","15","85","26","18","56","3","13","84","0","21","79","30"
"053523","17","UC CHRONIC DIALYSIS/MT. ZION","1675 SCOTT STREET","","SAN FRANCISCO","CA","94115","SAN FRANCISCO","4158857421","2","N","INDEPENDENT","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"053524","17","COMMUNITY DIALYSIS CENTER - CLOVIS","685 MEDICAL CENTER DR.  WEST #105X","","CLOVIS","CA","93611","FRESNO","5593244030","2","N","INDEPENDENT","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"053525","17","COMMUNITY DIALYSIS CENTER","285 NORTH FRESNO STREET","","FRESNO","CA","93701","FRESNO","5594593901","2","N","INDEPENDENT","22Apr2016-13Jan2017","001","10","13","77","13","18","69","21","79","11","12","77","7","17","76","6","17","77","72"
"053526","17","SAN JOAQUIN GENERAL HOSPITAL","7783 SOUTH FREEDOM ROAD","","FRENCH CAMP","CA","95231","SAN JOAQUIN","2094686085","2","N","INDEPENDENT","22Apr2016-13Jan2017","001","12","12","76","18","17","65","22","78","6","22","72","10","23","67","7","16","77","81"
"053527","18","ST. JOSEPH HOSPITAL DIALYSIS CENTER-SANTA ANA","2212 E. 4TH STREET, SUITE 101","","SANTA ANA","CA","92705","ORANGE","7145717850","2","N","INDEPENDENT","22Apr2016-13Jan2017","001","7","10","83","11","15","74","16","84","0","11","89","9","8","83","4","9","87","71"
"060024","15","060024 UNIVERSITY OF CO HOSPITAL - DIALYSIS","12605 E. 16TH AVE","","AURORA","CO","80045","ADAMS","7208483102","2","N","INDEPENDENT","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"061322","15","061322 HEART OF THE ROCKIES REGIONAL DIALYSIS CENTER","1000 RUSH DRIVE","","SALIDA","CO","81201","CHAFFEE","7195302200","1","N","INDEPENDENT","22Apr2016-13Jan2017","","","","","","","","","","","","","","","","","","",""
"062501","15","062501 ROCKY MOUNTAIN DIALYSIS (FMC)","4600 HALE PKWY STE 120","","DENVER","CO","80220","DENVER","3033206894","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","7","3","90","11","18","71","14","86","5","18","77","6","17","77","3","21","76","31"
"062535","15","062535 LAKEWOOD CROSSING DIALYSIS (DVA)","1057 S WADSWORTH BLVD STE 100","","LAKEWOOD","CO","80226","JEFFERSON","7209626199","1","Y","DAVITA","22Apr2016-13Jan2017","001","16","13","71","14","19","67","18","82","9","26","65","4","17","79","5","16","79","50"
"062536","15","062536 LAMAR DIALYSIS (FMC)","108 WEST LEE AVE","","LAMAR","CO","81052","PROWERS","7193361170","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"062537","15","062537 PUEBLO SOUTH DIALYSIS (FMC)","3426 LAKE AVENUE STE 110","","PUEBLO","CO","81004","PUEBLO","7195642442","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","12","16","72","12","21","67","15","85","8","31","61","4","26","70","0","21","79","50"
"052890","18","FMC-ANTELOPE VALLEY","44950 VALLEY CENTRAL WAY, SUITE 108","","LANCASTER","CA","93536","LOS ANGELES","6617295680","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","14","13","73","22","20","58","19","81","9","25","66","10","37","53","12","34","54","74"
"052891","17","WELLBOUND OF SAN JOSE LLC","1525 MERIDIAN AVENUE SUITE 101","","SAN JOSE","CA","95125","SANTA CLARA","4082693600","1","Y","SATELLITE HEALTHCARE","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"052892","17","SOLEDAD DIALYSIS CENTER","901 LOS COCHES DRIVE","","SOLEDAD","CA","93960","MONTEREY","8316784310","1","Y","DAVITA","22Apr2016-13Jan2017","001","9","25","66","7","23","70","11","89","4","30","66","6","19","75","7","18","75","45"
"052893","18","TEMPLE CITY DIALYSIS FACILITY, INC.","9945 LOWER AZUSA ROAD","","TEMPLE CITY","CA","91780","LOS ANGELES","6264423400","1","N","INDEPENDENT","22Apr2016-13Jan2017","001","10","14","76","10","19","71","18","82","7","23","70","5","27","68","10","22","68","67"
"052894","18","FMC-RAI-MONROE-INDIO","46-767 MONROE STREET, SUITE 101","","INDIO","CA","92201","RIVERSIDE","7603473986","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","15","18","67","21","16","63","21","79","11","28","61","19","17","64","14","12","74","47"
"052895","18","DAVITA-LAKE ELSINORE DIALYSIS CENTER","32291 MISSION TRAIL","","LAKE ELSINORE","CA","92530","RIVERSIDE","9516745050","1","Y","DAVITA","22Apr2016-13Jan2017","001","27","14","59","18","16","66","16","84","22","39","39","10","22","68","9","15","76","46"
"052896","18","DAVITA-CERRITOS DIALYSIS","19222 PIONEER BLVD., SUITE 101","","CERRITOS","CA","90703","LOS ANGELES","5629249990","1","Y","DAVITA","22Apr2016-13Jan2017","001","9","12","79","21","19","60","20","80","0","19","81","12","17","71","13","9","78","35"
"052897","18","DAVITA-TUSTIN DIALYSIS CENTER","2090 N. TUSTIN AVENUE, SUITE 100","","SANTA ANA","CA","92705","ORANGE","7148352450","1","Y","DAVITA","22Apr2016-13Jan2017","001","13","13","74","17","20","63","20","80","7","19","74","11","22","67","7","18","75","71"
"052898","18","FMC-RAI-LAGUNA CANYON-IRVINE","16255 LAGUNA CANYON ROAD","","IRVINE","CA","92618","ORANGE","9497274495","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","10","5","85","9","18","73","12","88","8","14","78","2","29","69","3","12","85","38"
"052899","18","U.S. RENAL CARE LOS ANGELES DIALYSIS","1125 W. 6TH STREET, SUITE 101","","LOS ANGELES","CA","90017","LOS ANGELES","2134813041","1","Y","US RENAL CARE, INC.","22Apr2016-13Jan2017","001","12","13","75","18","20","62","20","80","12","23","65","13","26","61","9","25","66","48"
"053300","17","CHILDRENS HOSPITAL CENTRAL CALIFORNIA","9300 VALLEY CHILDRENS PLACE","MAIL STOP SE 13","MADERA","CA","93636","MADERA","5593535770","2","N","INDEPENDENT","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"053302","18","CHILDRENS HOSPITAL OF LOS ANGELES","DIVISION OF NEPHROLOGY (DIALYSIS) 4650 SUNSET BLVD., BOX 40","","LOS ANGELES","CA","90027","LOS ANGELES","3233614788","2","N","INDEPENDENT","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"053303","18","CHILDRENS HOSPITAL OF SAN DIEGO","3020 CHILDRENS WAY, MC 5115","","SAN DIEGO","CA","92123","SAN DIEGO","8589668882","2","N","INDEPENDENT","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"053305","17","LUCILE PACKARD STANFORD PEDIATRIC DIALYSIS","725 WELCH ROAD PEDIATRIC DIALYSIS  RM 1229","","PALO ALTO","CA","94304","SANTA CLARA","6504985544","2","N","INDEPENDENT","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"062502","15","062502 LAKEWOOD DIALYSIS (DVA)","1750 PIERCE ST","","LAKEWOOD","CO","80214","JEFFERSON","3032386111","1","Y","DAVITA","22Apr2016-13Jan2017","001","20","17","63","14","25","61","21","79","14","27","59","10","22","68","9","18","73","45"
"062505","15","062505 NORTHERN COLORADO KIDNEY CENTER (FMC)","2107 S. TIMBERLINE RD","","FORT COLLINS","CO","80525","LARIMER","9704822161","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","16","13","71","15","14","71","25","75","13","20","67","8","12","80","7","11","82","38"
"062507","15","062507 PIKES PEAK DIALYSIS CENTER (DVA)","2002 LELARAY ST STE 130","","COLORADO SPRINGS","CO","80909","EL PASO","7194714615","1","Y","DAVITA","22Apr2016-13Jan2017","001","11","17","72","12","30","58","16","84","3","31","66","6","41","53","9","36","55","60"
"062510","15","062510 GREELEY DIALYSIS (FMC)","2343 W 27TH ST STE 503","","GREELEY","CO","80634","WELD","9703306100","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"062511","15","062511 THORNTON DIALYSIS (DVA)","8800 FOX DR","","THORNTON","CO","80260","ADAMS","3034307020","1","Y","DAVITA","22Apr2016-13Jan2017","001","10","7","83","9","13","78","17","83","16","17","67","13","14","73","4","14","82","31"
"062514","15","062514 AURORA DIALYSIS (DVA)","1411 S POTOMAC ST STE 100","","AURORA","CO","80012","ARAPAHOE","3033681911","1","Y","DAVITA","22Apr2016-13Jan2017","001","16","16","68","19","28","53","24","76","13","27","60","16","33","51","16","20","64","53"
"062516","15","062516 WESTMINSTER DIALYSIS (DVA)","9053 HARLAN ST STE 90","","WESTMINSTER","CO","80030","JEFFERSON","3034272400","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"062517","15","062517 BOULDER DIALYSIS (DVA)","2880 FOLSOM ST STE 110","","BOULDER","CO","80304","BOULDER","3034405600","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"052870","17","SATELLITE DIALYSIS SUNNYVALE","155 NORTH WOLFE RD","","SUNNYVALE","CA","94086","SANTA CLARA","4086171887","2","Y","SATELLITE HEALTHCARE","22Apr2016-13Jan2017","001","13","10","77","19","19","62","15","85","8","22","70","12","30","58","10","22","68","82"
"052871","18","DAVITA CENTRAL COAST KIDNEY CENTER","2263 S. DEPOT STREET","","SANTA MARIA","CA","93455","SANTA BARBARA","8053498600","1","Y","DAVITA","22Apr2016-13Jan2017","001","38","14","48","25","20","55","31","69","30","34","36","30","25","45","21","21","58","71"
"052872","18","FLORENCE DIALYSIS CENTER","351 W. FLORENCE AVENUE","","LOS ANGELES","CA","90003","LOS ANGELES","3237895690","1","N","INDEPENDENT","22Apr2016-13Jan2017","001","25","19","56","31","21","48","39","61","19","34","47","8","50","42","9","33","58","50"
"052873","18","DAVITA-DIALYSIS CENTER OF THOUSAND OAKS","375 ROLLING OAKS DRIVE, SUITE 100","","THOUSAND OAKS","CA","91361","VENTURA","8055571036","1","Y","DAVITA","22Apr2016-13Jan2017","001","15","13","72","19","20","61","14","86","11","24","65","10","30","60","11","22","67","45"
"052874","17","SATELLITE HEALTHCARE SOUTH SAN FRANCISCO","205 KENWOOD WAY","","SOUTH SAN FRANCISCO","CA","94080","SAN MATEO","6506167788","2","Y","SATELLITE HEALTHCARE","22Apr2016-13Jan2017","001","24","13","63","17","17","66","19","81","16","25","59","7","23","70","12","14","74","66"
"052875","18","RENAL CAREPARTNERS OF LOS ANGELES","9808 VENICE BLVD., SUITE 200","","CULVER CITY","CA","90232","LOS ANGELES","3108410500","1","N","INDEPENDENT","22Apr2016-13Jan2017","001","18","11","71","26","16","58","28","72","23","23","54","21","17","62","22","14","64","33"
"052876","17","OROVILLE DIALYSIS CLINIC","3012 OLIVE HIGHWAY","","OROVILLE","CA","95966","BUTTE","5305326800","2","Y","DIALYSIS CLINIC, INC.","22Apr2016-13Jan2017","001","6","10","84","11","18","71","6","94","0","18","82","2","20","78","7","14","79","39"
"052877","17","YUBA SUTTER DIALYSIS","2115 EAST ONSTOTT ROAD","","YUBA CITY","CA","95991","SUTTER","5306736656","1","Y","AMERICAN RENAL ASSOCIATES","22Apr2016-13Jan2017","001","14","16","70","16","21","63","22","78","5","29","66","4","38","58","3","27","70","45"
