"Provider number","Network","Facility name","Address line 1","Address line 2","City","State","Zip","County","Phone number","Profit or Non-Profit","Chain owned","Chain organization","ICH-CAHPS date","ICH-CAHPS date2","ICH-CAHPS data availability code","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility"
"112704","06","DCI ALBANY WEST TOWN","1921 W OAKRIDGE DR","","ALBANY","GA","31707","DOUGHERTY","(229) 435-9295","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","24","4","72","22","14","64","25","75","15","16","69","19","18","63","17","21","62"
"112705","06","FRESENIUS MEDICAL CARE STONE MOUNTAIN","5723 MEMORIAL DR","","STONE MOUNTAIN","GA","30083","DEKALB","(678) 836-0251","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","14","14","72","35","21","44","27","73","16","22","62","35","25","40","35","25","40"
"112706","06","SWEETWATER DIALYSIS","7117 S SWEETWATER ROAD","","LITHIA SPRINGS","GA","30122","DOUGLAS","(678) 945-3600","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","13","17","70","23","26","51","24","76","12","23","65","22","31","47","19","31","50"
"112707","06","US RENAL CARE HAWKINSVILLE","292 INDUSTRIAL BLD STE 100","","HAWKINSVILLE","GA","31036","PULASKI","(478) 892-8008","Profit","Yes","DIALYSIS CORPORATION OF AMERICA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","17","14","69","21","17","62","22","78","10","33","57","10","32","58","8","32","60"
"112708","06","DSI COVINGTON RENAL CENTER","4179 BAKER ST","","COVINGTON","GA","30014","NEWTON","(770) 385-4015","Profit","Yes","NATIONAL RENAL INSTITUTES","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112709","06","DAVITA ELLIJAY DIALYSIS","449 INDUSTRIAL BLVD #240","","ELLIJAY","GA","30540","GILMER","(706) 276-1417","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112710","06","EAST GEORGIA REGIONAL DIALYSIS CENTER","1989 STAMBUK LANE","SUITE A","STATESBORO","GA","30458","BULLOCH","(912) 871-5394","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","9","15","76","17","22","61","22","78","7","9","84","12","17","71","12","17","71"
"112711","06","IRIS CITY DIALYSIS","521 NORTH EXPRESSWAY","SUITE 1509","GRIFFIN","GA","30223","SPALDING","(770) 228-3177","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","23","15","62","24","18","58","23","77","20","24","56","26","24","50","20","36","44"
"112712","06","FRESENIUS MEDICAL CARE HONEYCREEK DIALYSIS, LLC","11415 BROWN BRIDGE ROAD","","COVINGTON","GA","30016","NEWTON","(770) 786-1005","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112714","06","ARA SOUTH AUGUSTA CLINIC","1649 GORDON HIGHWAY","","AUGUSTA","GA","30906","RICHMOND","(706) 796-1236","Profit","Yes","AMERICAN RENAL ASSOCIATES","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","20","12","68","23","19","58","21","79","16","19","65","18","21","61","19","15","66"
"112715","06","EAST DEKALB DIALYSIS","2853 CANDLER ROAD, SUITE 203","","DECATUR","GA","30034","DEKALB","(404) 241-0402","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","17","17","66","30","23","47","32","68","9","26","65","36","42","22","40","31","29"
"112716","06","FMC WEST CHATHAM DIALYSIS CENTER","113 MINUS AVENUE","","GARDEN CITY","GA","31408","CHATHAM","(912) 965-0305","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112718","06","FMC DIALYSIS SERVICES OF WALTON","299 PLAZA DRIVE","","MONROE","GA","30655","WALTON","(770) 266-7399","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112719","06","DCA OF ROYSTON","611 COOK STREET","","ROYSTON","GA","30662","FRANKLIN","(706) 245-0817","Profit","Yes","DIALYSIS CORPORATION OF AMERICA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112720","06","FMC NEW BAILIE","1717 WALTON WAY","","AUGUSTA","GA","30904","RICHMOND","(706) 481-6920","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","18","14","68","24","14","62","22","78","13","25","62","23","32","45","22","30","48"
"112721","06","FMC DIALYSIS SERVICES WOODSTOCK","110 LONDONDERRY COURT","SUITE 100","WOODSTOCK","GA","30188","CHEROKEE","(770) 592-3439","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","11","18","71","7","28","65","19","81","16","11","73","13","10","77","9","7","84"
"112722","06","ARA AUGUSTA LLC","1000 TELFAIR ST","","AUGUSTA","GA","30901","RICHMOND","(706) 774-0130","Profit","Yes","AMERICAN RENAL ASSOCIATES","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","11","17","72","21","23","56","22","78","17","19","64","19","23","58","13","25","62"
"112723","06","VIDALIA FIRST STREET DIALYSIS","906 E FIRST STREET","","VIDALIA","GA","30474","TOOMBS","(912) 538-8908","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112724","06","MONTEZUMA DIALYSIS","114 DEVAUGHN AVENUE","","MONTEZUMA","GA","31063","MACON","(478) 472-7099","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","21","11","68","24","17","59","39","61","16","22","62","19","29","52","21","17","62"
"112725","06","WRIGHTSVILLE DIALYSIS","2240 WEST ELM STREET","","WRIGHTSVILLE","GA","31096","JOHNSON","(478) 864-8701","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112726","06","DSI MONTICELLO DIALYSIS","1393 FUNDERBURG DRIVE","","MONTICELLO","GA","31064","JASPER","(706) 468-1240","Profit","Yes","DIVERSIFIED SPECIALTY INSTITUTES (DSI)","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112727","06","LORING HEIGHTS DIALYSIS","1575 NORTHSIDE DRIVE","BUILDING 400, SUITE 405","ATLANTA","GA","30318","FULTON","(404) 352-7125","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","13","14","73","18","24","58","15","85","4","22","74","6","32","62","6","31","63"
"112728","06","FMC DIALYSIS SERVICES ELLIJAY","941 PROGRESS ROAD","BOX 1","ELLIJAY","GA","30540","GILMER","(706) 635-3580","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112729","06","BAKERS FERRY DIALYSIS","3645 BAKERS FERRY ROAD","","ATLANTA","GA","30331","FULTON","(404) 691-1932","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","15","13","72","27","16","57","19","81","17","24","59","27","28","45","23","29","48"
"112730","06","NEWNAN DIALYSIS UNIT","101 WERZ INDUSTRIAL DRIVE","","NEWNAN","GA","30263","COWETA","(770) 251-7896","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","13","17","70","18","24","58","21","79","11","12","77","1","38","61","3","38","59"
"112732","06","FMC OF FORT VALLEY","135 AVERA DRIVE","","FORT VALLEY","GA","31030","PEACH","(478) 827-0776","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112733","06","US RENAL CARE ADEL DIALYSIS","701 NORTH HUTCHINSON AVE","","ADEL","GA","31620","COOK","(229) 896-4529","Profit","Yes","DIALYSIS CORPORATION OF AMERICA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","12","10","78","18","19","63","23","77","7","12","81","11","12","77","5","13","82"
"112734","06","FMCNA DIALYSIS SERVICES OF CHATTAHOOCHEE VALLEY","2042 WYNNTON ROAD","","COLUMBUS","GA","31906","MUSCOGEE","(706) 571-6201","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","22","17","61","33","18","49","35","65","20","35","45","25","31","44","24","33","43"
"112735","06","EISENHOWER PARKWAY DIALYSIS","2525 SECOND STREET","","MACON","GA","31206","BIBB","(478) 738-0420","Profit","Yes","DIVERSIFIED SPECIALTY INSTITUTES (DSI)","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","11","15","74","24","24","52","26","74","12","10","78","27","16","57","20","27","53"
"112736","06","DSI OCONEE DIALYSIS","1310 NORTH COLUMBIA STREET","SUITE C","MILLEDGEVILLE","GA","31061","BALDWIN","(478) 452-4019","Profit","Yes","DIVERSIFIED SPECIALTY INSTITUTES (DSI)","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112737","06","FRESENIUS MEDICAL CARE HIGHLANDS","2700 HIGHLANDS PARKWAY STE A","","SMYRNA","GA","30082","COBB","(678) 303-5064","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112738","06","FMCNA OF NORTH COBB","1392 BELLS FERRY ROAD","","MARIETTA","GA","30066","COBB","(770) 528-3898","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","13","19","68","18","21","61","21","79","15","24","61","11","26","63","8","30","62"
"112741","06","DAVITA GROVEPARK DIALYSIS CENTER","794 MCDONOUGH ROAD","SUITE 103","JACKSON","GA","30233","BUTTS","(770) 504-0365","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","7","17","76","13","20","67","13","87","7","15","78","4","29","67","1","35","64"
"112742","06","WEST GEORGIA DIALYSIS","1216 STARK AVENUE","","COLUMBUS","GA","31906","MUSCOGEE","(706) 320-0103","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","18","14","68","21","20","59","22","78","5","27","68","1","46","53","18","25","57"
"112743","06","FRESENIUS MEDICAL CARE LAKE LANIER","2565 THOMPSON BRIDGE ROAD","","GAINESVILLE","GA","30501","HALL","(678) 450-0364","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112744","06","DIALYSIS FACILITY OF ALMA INC","415 SOUTH DIXON STREET","","ALMA","GA","31510","BACON","(912) 632-8010","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112745","06","LAKE HEARN DIALYSIS","1150 LAKE HEARN DRIVE","SUITE 100 (INTERNAL MAIL BOX # 25)","ATLANTA","GA","30342","FULTON","(404) 847-9850","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112746","06","DIALYSIS OF LITHONIA","2485 PARK CENTRAL BLVD","","DECATUR","GA","30035","DEKALB","(678) 418-9808","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","23","17","60","28","20","52","28","72","25","11","64","22","31","47","20","41","39"
"112747","06","US RENAL CARE DUNWOODY HOME PROGRAM","7840 ROSWELL RD BLDG 3000 STE 310","","ATLANTA","GA","30350","DEKALB","(770) 518-2120","Profit","Yes","RENAL CARE PARTNERS","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112748","06","COMMUNITY DIALYSIS CENTER OF COLUMBUS LLC","1120 13TH STREET","","COLUMBUS","GA","31901","MUSCOGEE","(706) 507-0004","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112749","06","FRESENIUS MEDICAL CARE CARROL COUNTY","157 CLINIC AVENUE","SUITE 102","CARROLLTON","GA","30117","CARROLL","(770) 832-2202","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","19","18","63","31","23","46","28","72","9","33","58","24","30","46","17","32","51"
"112750","06","FRESENIUS MEDICAL CARE COLLEGE PARK","2545 SULLIVAN ROAD","","COLLEGE PARK","GA","30337","FULTON","(404) 591-2022","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112751","06","FRESENIUS MEDICAL CARE BREMAN","108 REDDING DRIVE","","BREMEN","GA","30110","HARALSON","(770) 537-0222","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112752","06","HARBIN CLINIC DIALYSIS CENTER","172 THREE RIVERS DRIVE NE","","ROME","GA","30161","FLOYD","(706) 234-6905","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","19","14","67","11","13","76","23","77","9","27","64","1","18","81","2","8","90"
"112753","06","STOCKBRIDGE DIALYSIS CLINIC,LLC","3580 CAMERON PARKWAY","","STOCKBRIDGE","GA","30281","HENRY","(678) 565-6228","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112754","06","DSI MACON HEMLOCK DIALYSIS","657 HEMLOCK ST STE 100","","MACON","GA","31201","BIBB","(478) 742-8001","Profit","Yes","DIVERSIFIED SPECIALTY INSTITUTES (DSI)","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112755","06","FRESENIUS MEDICAL CARE LOGANVILLE, LLC","3431 HWY 81 S","","LOGANVILLE","GA","30052","WALTON","(678) 639-1633","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112758","06","SUGARLOAF DIALYSIS","1705 BELLE MEADE CT STE 110","","LAWRENCEVILLE","GA","30043","GWINNETT","(770) 513-2833","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","6","22","72","23","23","54","19","81","5","20","75","16","27","57","11","31","58"
"112759","06","RENAL CARE GROUP LITHONIA","2701 EVANS MILL ROAD","","LITHONIA","GA","30058","DEKALB","(770) 482-5991","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","20","8","72","30","17","53","28","72","13","22","65","25","24","51","37","19","44"
"112760","06","BUFORD DIALYSIS","1550 BUFORD HWY STE 1E","","BUFORD","GA","30518","GWINNETT","(770) 831-2379","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112761","06","FMS LAWRENCEVILLE","1115 HERRINGTON ROAD","","LAWRENCEVILLE","GA","30044","GWINNETT","(770) 962-3546","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","13","6","81","13","26","61","20","80","12","15","73","9","23","68","6","15","79"
"112762","06","RAI DEANS BRIDGE","2841 DEANS BRIDGE ROAD","","AUGUSTA","GA","30906","RICHMOND","(706) 790-5909","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","7","11","82","14","22","64","23","77","4","12","84","12","25","63","4","24","72"
"112763","06","FMC CUMMING","1070 BUFORD HIGHWAY","","CUMMING","GA","30041","FORSYTH","(678) 455-5798","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112765","06","NORTHWEST GEORGIA RENAL CENTER","260 HOSPITAL ROAD","","CANTON","GA","30114","CHEROKEE","(678) 880-3939","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","16","11","73","14","22","64","19","81","15","18","67","5","30","65","10","25","65"
"112766","06","FMC BULLOCH COUNTY","1355 BRAMPTON AVE","","STATESBORO","GA","30458","BULLOCH","(912) 871-2968","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112767","06","FMC DIALYSIS SERVICES OF HOUSTON COUNTY","816 DUKE AVENUE","","WARNER ROBINS","GA","31093","HOUSTON","(478) 923-7600","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","16","15","69","18","17","65","25","75","4","11","85","4","14","82","7","18","75"
"112768","06","FMS TOOMBS COUNTY DIALYSIS","105 MELVIN PAGE DR","","VIDALIA","GA","30474","TOOMBS","(912) 537-0367","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112769","06","HOGANSVILLE DIALYSIS CLINIC","1002 WILLIAMS ST","","HOGANSVILLE","GA","30230","TROUP","(706) 637-4028","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112770","06","DCA OF CALHOUN","105 PROFESSIONAL PLACE","","CALHOUN","GA","30701","GORDON","(706) 624-4497","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","25","13","62","14","22","64","25","75","22","14","64","0","24","76","4","17","79"
"112771","06","DAVITA SOUTHERN CRESCENT DIALYSIS CENTER","275 UPPER RIVERDALE RD SW STE B","","RIVERDALE","GA","30274","CLAYTON","(770) 907-7022","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","18","22","60","31","25","44","38","62","10","33","57","31","45","24","31","44","25"
"112772","06","FMCNA VILLA RICA","130 PROSPECTOR DR","","VILLA RICA","GA","30180","CARROLL","(770) 459-7135","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112773","06","RAI CARE CENTER PATTERSON","1115 SOUTH PATTERSON STREET","","VALDOSTA","GA","31601","LOWNDES","(229) 244-6288","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112774","06","SPIVEY PERITONEAL AND HOME DIALYSIS CENTER","1423 STOCKBRIDGE RD STE B","","JONESBORO","GA","30236","CLAYTON","(770) 603-0124","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112775","06","DCI BOXWOOD PLACE","1711 BOXWOOD PLACE","","COLUMBUS","GA","31906","MUSCOGEE","(706) 565-8392","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","26","14","60","13","22","65","19","81","29","11","60","7","27","66","7","35","58"
"112776","06","DSI GRAY DIALYSIS","1002 BOULDER DRIVE","","GRAY","GA","31032","JONES","(478) 986-3066","Profit","Yes","RENAL ADVANTAGE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112777","06","MOUNTAIN PARK DIALYSIS","5235 MEMORIAL DR","","STONE MOUNTAIN","GA","30083","DEKALB","(404) 296-1344","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112778","06","MEDLOCK BRIDGE DIALYSIS","10680 MEDLOCK BRIDGE RD  STE 103","","DULUTH","GA","30097","GWINNETT","(770) 622-2167","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","24","19","57","16","26","58","20","80","21","18","61","11","13","76","8","23","69"
"112779","06","NORTH GWINNETT DIALYSIS","185 OLD PEACHTREE ROAD NW","","SUWANEE","GA","30024","GWINNETT","(678) 714-4941","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112781","06","FMCNA DIALYSIS SERVICES OF DECATUR","2721 IRWIN WAY","","DECATUR","GA","30030","DEKALB","(404) 298-5450","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112782","06","FMCNA SANDY SPRINGS","7840 ROSWELL RD BLDG 200 STE 210","","ATLANTA","GA","30350","DEKALB","(770) 604-3330","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112783","06","NRA PALMETTO","500 WALNUT WAY","","PALMETTO","GA","30268","FULTON","(770) 463-1442","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
